text_clean,text_preprocessed
nsyam   id semoga aja rohingya ngikutin jejak israel kelakbiar israel tdk sendirian dihujat,"['nsyam', 'id', 'moga', 'aja', 'rohingya', 'ngikutin', 'jejak', 'israel', 'kelakbiar', 'israel', 'tdk', 'hujat']"
sejarah kelam orde baru yg nampaknya terulang 🤔 jgn lagilagi deh   komika bem ugm pil  pil  wa aja malaysia rohingya myanmar muhammad kdaceh,"['sejarah', 'kelam', 'orde', 'yg', 'nampaknya', 'ulang', '', 'jgn', 'lagilagi', 'deh', 'komika', 'bem', 'ugm', 'pil', 'pil', 'wa', 'aja', 'malaysia', 'rohingya', 'myanmar', 'muhammad', 'kdaceh']"
rohingya itu lamalama bisa memberontak pada negara indonesia yang danainya mamarica loh,"['rohingya', 'lamalama', 'berontak', 'negara', 'indonesia', 'dana', 'mamarica', 'loh']"
yg bayar itu karena kasus perdagangan manusia mereka kena tipu dan soal minta tanah di malay itu hoax karena itu penggalan video saat warga rohingya demonstrasi menuntut dihentikannya genosida,"['yg', 'bayar', 'dagang', 'manusia', 'kena', 'tipu', 'tanah', 'malay', 'hoax', 'penggal', 'video', 'warga', 'rohingya', 'demonstrasi', 'tuntut', 'henti', 'genosida']"
terlepas akun fake atau apalah terkait rohingya seharusnya juga mendudukan pihak myanmar karena akar masalah rohingya itu kan dengan myanmar indonesia itu hanya penampungan sementara tapi namanya sementara itu ada waktunya ya tidak sementara yg berkepanjangan,"['lepas', 'akun', 'fake', 'apa', 'kait', 'rohingya', 'duduk', 'myanmar', 'akar', 'rohingya', 'myanmar', 'indonesia', 'tampung', 'nama', 'ada', 'ya', 'yg', 'panjang']"
gajadi tamat malem ini gue baru sampe kost habis diskusi tentang pilpres rohingya jodoh dll  mungkin besok,"['gajadi', 'tamat', 'malem', 'gue', 'sampe', 'kost', 'habis', 'diskusi', 'pilpres', 'rohingya', 'jodoh', 'dll', 'besok']"
wowo gobel naik jabatan sedangkan kasusnya belum selesai apalagi dia adalah makhluk pelanggar ham  wa aja bem ugm kdrohingya npwp seneng muhammad cakep banget tonton 👇,"['wowo', 'gobel', 'jabat', 'kasus', 'selesai', 'makhluk', 'langgar', 'ham', 'wa', 'aja', 'bem', 'ugm', 'kdrohingya', 'npwp', 'neng', 'muhammad', 'cakep', 'banget', 'tonton', '']"
id marshel sorry nih emangnya segampang itu kita orng luar mau berusaha menghentikan genosida amp  pengusiran kita juga ga akan sekejam itu nolak warga rohingya klo merekanya pun ngaa macem  mereka nih banyak yg meresahkan wajar kita harus waspada kalo terus²an dikasihani ngelunjak ntar,"['id', 'marshel', 'sorry', 'nih', 'emang', 'gampang', 'orng', 'usaha', 'henti', 'genosida', 'amp', 'usir', 'ga', 'kejam', 'nolak', 'warga', 'rohingya', 'klo', 'mereka', 'ngaa', 'macem', 'nih', 'yg', 'resah', 'wajar', 'waspada', 'kalo', 'terus an', 'kasihan', 'ngelunjak', 'ntar']"
lupa pancasila  bem ugm wa aja komika pil  the k seneng rohingya muhammad jungkook pil  internet gratis ganjar cat,"['lupa', 'pancasila', 'bem', 'ugm', 'wa', 'aja', 'komika', 'pil', 'the', 'k', 'neng', 'rohingya', 'muhammad', 'jungkook', 'pil', 'internet', 'gratis', 'ganjar', 'cat']"
ganjar tegaskan bakal lanjutkan pembangunan ikn💪   indro malam bem ugm komika pil  the k muhammad the un security council rohingya myanmar hunter biden pil  nayeon ozil pil  npwp,"['ganjar', 'tegas', 'lanjut', 'bangun', 'ikn', 'indro', 'malam', 'bem', 'ugm', 'komika', 'pil', 'the', 'k', 'muhammad', 'the', 'un', 'security', 'council', 'rohingya', 'myanmar', 'hunter', 'biden', 'pil', 'nayeon', 'ozil', 'pil', 'npwp']"
balikin aja ke camp sebelum di indo atau pindahin ke tujuan selanjutnya bikin gaduh indonesia aja itu orang rohingya di indonesia,"['balikin', 'aja', 'camp', 'indo', 'pindahin', 'tuju', 'bikin', 'gaduh', 'indonesia', 'aja', 'orang', 'rohingya', 'indonesia']"
anies resmikan gardu listrik mdi jakarta selatan bukti kesuksesan tanpa keringat  si ahlinya tinggal terima jadi    bem ugm the k jungkook rohingya indro pil  komika pil  npwp pil,"['anies', 'resmi', 'gardu', 'listrik', 'mdi', 'jakarta', 'selatan', 'bukti', 'sukses', 'keringat', 'si', 'ahli', 'tinggal', 'terima', 'bem', 'ugm', 'the', 'k', 'jungkook', 'rohingya', 'indro', 'pil', 'komika', 'pil', 'npwp', 'pil']"
tv min coba buat pooling rohingya di terika atau dintolak soalnya meresahkan sekali,"['tv', 'min', 'coba', 'pooling', 'rohingya', 'terika', 'dintolak', 'resah']"
jejak digital barbarnya rohingya yg ngaku muslim to tak beradab   usir rohingya tanpa perlu ijin dr pbb,"['jejak', 'digital', 'barbar', 'rohingya', 'yg', 'ngaku', 'muslim', 'to', 'adab', 'usir', 'rohingya', 'ijin', 'dr', 'pbb']"
jakarta saja gagal apalagi indonesia    bem ugm the k jungkook rohingya indro pil  komika pil  npwp pil,"['jakarta', 'gagal', 'indonesia', 'bem', 'ugm', 'the', 'k', 'jungkook', 'rohingya', 'indro', 'pil', 'komika', 'pil', 'npwp', 'pil']"
inilah suasana warga subang unjuk rasa untuk meminta pengungsi rohingya dipindahkan dari sabang,"['suasana', 'warga', 'subang', 'unjuk', 'ungsi', 'rohingya', 'pindah', 'sabang']"
pulangkan saja orang rohingya kenegara asalnya dr pada menjadi beban di masyarakat dan negaralihatlah rakyat indonesia masih byk yg menderita rohingya palestina bedah jaurakyat palestina lebih memilih mati dr pada meningalkan negaranya mental orang palestina sangatlah tanguh,"['pulang', 'orang', 'rohingya', 'negara', 'asal', 'dr', 'beban', 'masyarakat', 'negaralihatlah', 'rakyat', 'indonesia', 'byk', 'yg', 'derita', 'rohingya', 'palestina', 'bedah', 'jaurakyat', 'palestina', 'pilih', 'mati', 'dr', 'meningalkan', 'negara', 'mental', 'orang', 'palestina', 'tanguh']"
kalau rohingya engga salah kenapa pada kabur dari myanmar  ada video org rohingya di rakhine dibakarin idup tuh not enough reason buat kabur apa bgmn,"['rohingya', 'engga', 'salah', 'kabur', 'myanmar', 'ada', 'video', 'org', 'rohingya', 'rakhine', 'dibakarin', 'idup', 'tuh', 'not', 'enough', 'reason', 'kabur', 'bgmn']"
menolak lengah  agenda masih sama seperti awal ada kelompok radikal militan dibalik pencapresan anies bersiap bangkitkan negara khilafah   bem ugm the k jungkook rohingya indro pil  komika pil  npwp pil,"['tolak', 'lengah', 'agenda', 'ada', 'kelompok', 'radikal', 'militan', 'balik', 'pencapresan', 'anies', 'bangkit', 'negara', 'khilafah', 'bem', 'ugm', 'the', 'k', 'jungkook', 'rohingya', 'indro', 'pil', 'komika', 'pil', 'npwp', 'pil']"
sehat dan sukses selalu pak ganjar dan keluarga  bem ugm indro komika pil  rohingya the k pil  npwp pil,"['sehat', 'sukses', 'ganjar', 'keluarga', 'bem', 'ugm', 'indro', 'komika', 'pil', 'rohingya', 'the', 'k', 'pil', 'npwp', 'pil']"
pratamap id  marshel semoga ada titik terang bagi rohingya agar bisa di akui di myanmar sebagai etnis juga disana  kasihan terombang ambing di lautan,"['pratamap', 'id', 'marshel', 'moga', 'ada', 'titik', 'terang', 'rohingya', 'aku', 'myanmar', 'etnis', 'sana', 'kasihan', 'terombang', 'ambing', 'laut']"
ganjar tuntaskan ikn  bem ugm indro komika pil  rohingya the k pil  npwp pil,"['ganjar', 'tuntas', 'ikn', 'bem', 'ugm', 'indro', 'komika', 'pil', 'rohingya', 'the', 'k', 'pil', 'npwp', 'pil']"
lu ga berhak ngomong karna lu ga bergesekan langsung sama mereka kenapa lu mikir kasian pengungsi rohingya sedangkan warga aceh juga lebih tersiksa karna ini,"['lu', 'ga', 'hak', 'ngomong', 'karna', 'lu', 'ga', 'gesek', 'langsung', 'lu', 'mikir', 'kasi', 'ungsi', 'rohingya', 'warga', 'aceh', 'siksa', 'karna']"
dukungan kuat dari perusahaan media jurnalis yg udah dikenal dimana mana sdh semakin bertambah kepercayaan masyarakat atas statement negatif terhadap rohingya jadi kalau diminta jawaban aku berpihak kemana mungkin kembali lagi ke masyarakat aceh siap enggak menerima rohingya,"['dukung', 'kuat', 'usaha', 'media', 'jurnalis', 'yg', 'udah', 'kenal', 'mana', 'sdh', 'tambah', 'percaya', 'masyarakat', 'statement', 'negatif', 'rohingya', 'pihak', 'mana', 'masyarakat', 'aceh', 'terima', 'rohingya']"
result jakarta pools  gt    november  sah gt   shio gt  ayam selamat untuk member yang jp,"['result', 'jakarta', 'pools', 'gt', 'november', 'sah', 'gt', 'shio', 'gt', 'ayam', 'selamat', 'member', 'jp']"
id  marshel mereka pengunsi selain rohingya tdak mengeluh ketika di kasih makanan  dmn bumi di pijak di situ langit di junjung hargailah dan mereka akan menghargaimu,"['id', 'marshel', 'pengunsi', 'rohingya', 'tdak', 'keluh', 'kasih', 'makan', 'dmn', 'bumi', 'pijak', 'situ', 'langit', 'junjung', 'harga', 'harga']"
orang orang kayak gue yang mana gue sebelumnya ga bahas apapun ttg r seingat gue pertama kali gue bahas r di meme itu tapi ketika ada orang yang bilang warga aceh jahat apa salah gue bilang apa alasannya kami menolak gue juga membela rohingya,"['orang', 'orang', 'kayak', 'gue', 'gue', 'ga', 'bahas', 'apa', 'ttg', 'r', 'gue', 'kali', 'gue', 'bahas', 'r', 'meme', 'ada', 'orang', 'bilang', 'warga', 'aceh', 'jahat', 'salah', 'gue', 'bilang', 'alas', 'tolak', 'gue', 'bela', 'rohingya']"
dibalik kerasnya penolakan pengungsi rohingya ternyata ada juga yg mendukung dan siap menerima kedatangan mereka,"['balik', 'keras', 'tolak', 'ungsi', 'rohingya', 'ada', 'yg', 'dukung', 'terima', 'datang']"
nambahin ya sifat asli rohingya,"['nambahin', 'ya', 'sifat', 'asli', 'rohingya']"
id marshel keknya ada misinformasi dimasyarakat soal pengungsi rohingya deh min sampe timbul kebencian seperti itu,"['id', 'marshel', 'kek', 'ada', 'misinformasi', 'masyarakat', 'ungsi', 'rohingya', 'deh', 'min', 'sampe', 'timbul', 'benci']"
malam bem ugm open vcs bugil bisa skrng wa    rohingya the k,"['malam', 'bem', 'ugm', 'open', 'vcs', 'bugil', 'skrng', 'wa', 'rohingya', 'the', 'k']"
id  marshel jgn bawa kemanusian kalau mereka sdiri tdk memanusiakan lingkungan skitar  pngungsi yg ada di indonesia selain rohingyamereka kebanyakan sadar diri min menjaga lingkungan tetap membersihkan lingkungan t tinggal mereka,"['id', 'marshel', 'jgn', 'bawa', 'kemanusian', 'sdiri', 'tdk', 'manusia', 'lingkung', 'skitar', 'pngungsi', 'yg', 'ada', 'indonesia', 'rohingyamereka', 'banyak', 'sadar', 'min', 'jaga', 'lingkung', 'bersih', 'lingkung', 't', 'tinggal']"
id marshel seandainya aja nih seandainya aja ya kalo ternyata polanya sama gimana lu atau netizen yg bela rohingya lainnya berani ga maju di barisan plg depan lawan mereka seandainya terjadi kudeta kyk israel  tandanya udh ada rohingya bnyk yg fasih inggris lho,"['id', 'marshel', 'anda', 'aja', 'nih', 'anda', 'aja', 'ya', 'kalo', 'pola', 'gimana', 'lu', 'netizen', 'yg', 'bela', 'rohingya', 'berani', 'ga', 'maju', 'baris', 'plg', 'lawan', 'anda', 'kudeta', 'kyk', 'israel', 'tanda', 'udh', 'ada', 'rohingya', 'bnyk', 'yg', 'fasih', 'inggris', 'lho']"
ganjar capres ter satset             makhluk item iqoo malam pil  seneng the k bem ugm pil  jakal pil  rohingya komika indro,"['ganjar', 'capres', 'ter', 'satset', 'makhluk', 'item', 'iqoo', 'malam', 'pil', 'neng', 'the', 'k', 'bem', 'ugm', 'pil', 'jakal', 'pil', 'rohingya', 'komika', 'indro']"
sebetulnya bukan nyinyir pak tapi memang program itu cukup bagus untuk orangorang yang membutuhkan seperti pengungsi rohingya  tapi tidak menyelesaikan masalah untuk rakyat indonesia karena rakyat indonesia bukan mental pengemis dan tidak seperti rutinitas pemilu yang tiap…,"['nyinyir', 'program', 'bagus', 'orangorang', 'butuh', 'ungsi', 'rohingya', 'selesai', 'rakyat', 'indonesia', 'rakyat', 'indonesia', 'mental', 'emis', 'rutinitas', 'milu', 'tiap']"
