created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Dec 08 16:43:34 +0000 2023;1733165434038599891;"@Muhammad_nsyam @NongCiapChay @nisaswiftie13 @neohistoria_id Semoga aja rohingya ngikutin jejak Israel kelak..biar Israel tdk sendirian dihujat.";0;0;0;0;in;4756018272;1733010793137098803;tkbubut;https://twitter.com/tkbubut/status/1733165434038599891
Fri Dec 08 16:43:27 +0000 2023;1733165402505773192;"Sejarah kelam orde baru yg nampaknya terulang 🤔 jgn lagi-lagi deh..  ~ Komika BEM UGM Pil 1 Pil 2 WA Aja Malaysia Rohingya Myanmar Muhammad KDRT Aceh https://t.co/pGd2GbdG0k";0;0;0;0;in;950948688691576835;1733165402505773192;Chandra0233;https://twitter.com/Chandra0233/status/1733165402505773192
Fri Dec 08 16:43:16 +0000 2023;1733165356804636745;"Rohingya itu lama-lama bisa memberontak pada negara Indonesia yang danainya mamarica loh?";0;0;0;0;in;1534907323407208448;1733165356804636745;cccvp9097;https://twitter.com/cccvp9097/status/1733165356804636745
Fri Dec 08 16:43:14 +0000 2023;1733165351003963591;"@callmeyuuuuu @munlightshdw @herricahyadi yg bayar itu karena kasus perdagangan manusia (mereka kena tipu). dan soal minta tanah di Malay, itu hoax. karena itu penggalan video saat warga Rohingya demonstrasi menuntut dihentikannya genosida";0;0;0;0;in;1536947530813952000;1732728577358233807;Leonidas666_;https://twitter.com/Leonidas666_/status/1733165351003963591
Fri Dec 08 16:43:07 +0000 2023;1733165319739621391;"@Heraloebss Terlepas akun fake atau apalah. Terkait Rohingya, seharusnya juga mendudukan pihak Myanmar. Karena akar masalah Rohingya itu kan dengan Myanmar. Indonesia itu hanya penampungan sementara. Tapi namanya SEMENTARA itu ada waktunya ya, tidak sementara yg berkepanjangan.";0;0;0;0;in;3003955086;1733118126311854274;yock_sukaryono;https://twitter.com/yock_sukaryono/status/1733165319739621391
Fri Dec 08 16:42:47 +0000 2023;1733165234255511647;"Gajadi tamat malem ini gue baru sampe kost habis diskusi tentang pilpres, rohingya, jodoh dll :)). Mungkin besok";0;0;0;0;in;1601930152035831809;1733165234255511647;waw_______;https://twitter.com/waw_______/status/1733165234255511647
Fri Dec 08 16:42:16 +0000 2023;1733165103670051097;"Wowo Gobel naik jabatan sedangkan kasusnya belum selesai apalagi dia adalah makhluk pelanggar HAM @onyourpulse WA Aja BEM UGM KDRT Rohingya NPWP Seneng Muhammad Cakep banget TONTON 👇 #JumatBerkah #IsraelApartheidstate https://t.co/Ajc7O96V49 https://t.co/6MnRcEAmue";0;0;0;0;in;1712777216101380096;1733165103670051097;Nindymegawat1;https://twitter.com/Nindymegawat1/status/1733165103670051097
Fri Dec 08 16:40:55 +0000 2023;1733164766930354250;"@neohistoria_id @m_marshel sorry nih emangnya segampang itu kita orng luar mau berusaha menghentikan genosida &amp  pengusiran? Kita juga ga akan sekejam itu nolak warga rohingya klo merekanya pun ngaa macem"  Mereka nih banyak yg meresahkan, wajar kita harus waspada, kalo terus²an dikasihani ngelunjak ntar";0;0;0;0;in;1405398726219231237;1733028831932629243;haesoommm;https://twitter.com/haesoommm/status/1733164766930354250
Fri Dec 08 16:40:40 +0000 2023;1733164703462146434;"Lupa Pancasila? . BEM UGM WA Aja Komika Pil 1 The K2 Seneng Rohingya Muhammad jungkook Pil 2 Internet Gratis Ganjar CAT 2 https://t.co/IJjGLQ9Ftb";0;0;0;0;in;1709060268154880000;1733164703462146434;Saras_Ayu0;https://twitter.com/Saras_Ayu0/status/1733164703462146434
Fri Dec 08 16:40:28 +0000 2023;1733164651507302814;"Ganjar tegaskan bakal lanjutkan pembangunan IKN💪  || Indro Malam BEM UGM Komika Pil 1 The K2 Muhammad The UN Security Council Rohingya Myanmar Hunter Biden Pil 2 nayeon Ozil Pil 3 NPWP || https://t.co/e87h6eYl1C";0;0;2;2;in;1540223049601269765;1733164651507302814;DeaWiena;https://twitter.com/DeaWiena/status/1733164651507302814
