created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 10 13:42:55 +0000 2023;1733844746211401881;"Bisa gak sih sebelum tugas berakhir tahun depan bapak presiden jokowi untuk bertindak tegas dengan mengusir rohingya balikin ke negara asalnya. Pak @jokowi mohon pak ketegasannya, mereka sangat meresahkan.";0;0;0;0;in;772370162678837249;1733844746211401881;_delightbee;https://twitter.com/_delightbee/status/1733844746211401881
Sun Dec 10 13:42:47 +0000 2023;1733844711117615486;"@Mooncalfdung oalah ternyata kamu tuh nggak tau apa apa soal rohingya, tapi berani ya kemarin2 bikin trit isinya hoax semua? tolol";0;0;0;0;in;1242268888709992448;1733477433750553018;alchemitxt;https://twitter.com/alchemitxt/status/1733844711117615486
Sun Dec 10 13:42:34 +0000 2023;1733844658495828048;"Pokoknya gw pribadi gamau ada rohingya di indonesia raya";0;0;0;0;in;805255536304263168;1733844658495828048;prilsssssss;https://twitter.com/prilsssssss/status/1733844658495828048
Sun Dec 10 13:42:26 +0000 2023;1733844626090738103;"@sosmedkeras kata temen gua anggota AL sebenernya mereka tau rohingya masuk, tapi di larang atasannya karena ga ada perintah dari atasannya...  Waittt??? Apakah berarti ada yang main belakang ??? 😲😲";0;0;0;0;in;1193786249691066368;1732758025512063437;Mulut_75;https://twitter.com/Mulut_75/status/1733844626090738103
Sun Dec 10 13:42:14 +0000 2023;1733844572667834531;"@jujukyng Itu berita! @CNNIndonesia  , Situs BERITA NASIONAL  Knapa dng Rohingya? Keknya pada  terlove2 banget";0;0;0;0;in;1251824880967774208;1733841530186785198;Heraloebss;https://twitter.com/Heraloebss/status/1733844572667834531
Sun Dec 10 13:42:01 +0000 2023;1733844521618932204;"@anggaandinata @kucilpung coba tanya itu ke pengungsi rohingya di arab saudi sama emirate yg sudah berpuluh tahun, tuh negara berubah namakah jadi arakan state of rohingya?";0;0;0;0;in;125918605;1733329674288386431;nionaalfaen;https://twitter.com/nionaalfaen/status/1733844521618932204
Sun Dec 10 13:40:49 +0000 2023;1733844218760794342;"😬 tadi bahkan lewat berita CNN soal Rohingya, repnya masih aja orang orang yg aku ga ngerti lagi deh apa yg salah entah otak atau hatinya yg sudah rusak fungsinya 😞";0;0;0;0;in;870460473002610688;1733844218760794342;teolaegiu;https://twitter.com/teolaegiu/status/1733844218760794342
Sun Dec 10 13:40:48 +0000 2023;1733844214545592507;"Hari hati  Musim kampanye akan byk org berfrilaku bak malaikat- klo sdh menjabat lain lagi. Kalah setan mah!! #marisadar jgn mau di adu domba- ambil uangnya jgn pilih org nya Zara Rohingya https://t.co/Zl8XEzEsak";0;0;0;0;in;1641992315089862658;1733844214545592507;KITA_1indonesia;https://twitter.com/KITA_1indonesia/status/1733844214545592507
Sun Dec 10 13:39:43 +0000 2023;1733843939185308126;"@Lusbowln @TuaJalanJalan @trojandefender @negativisme Mau sampai kapan negara kita nampung? Negara-negara lain jg nolak karena jumlah pengungsi Rohingya ini makin hari makin nambah. Lu mikir jugalah Indonesia itu belum mampu jadi negara yang nampung pengungsi dalam jumlah besar. Seharusnya balikin lagi pengungsi ini ke Bangladesh";0;0;0;0;in;736781183355228160;1733324243377758378;melilfoulus;https://twitter.com/melilfoulus/status/1733843939185308126
Sun Dec 10 13:39:30 +0000 2023;1733843888329413014;"@bebanpenyusutan @arman_dhani @Greschinov @UNHCRIndo Based on hatred ke siapa @bebanpenyusutan ? Ini saya ikutan julid fisabilillah soalnya dan kami gak ada itu ngurusin issue pengungsi Rohingya. Semua difokuskan ke Israel. Otak dipakai Hati dicuci Bos, kotor berburuk sangka dan kebacanya kek gak tau apa2 lu";0;0;0;0;in;1222828424;1733416298192003279;fitafibriani;https://twitter.com/fitafibriani/status/1733843888329413014
