text_clean,text_preprocessed,text_len,polarity_score,polarity
nsyam   id semoga aja rohingya ngikutin jejak israel kelakbiar israel tdk sendirian dihujat,"['nsyam', 'id', 'moga', 'aja', 'rohingya', 'ngikutin', 'jejak', 'israel', 'kelakbiar', 'israel', 'tdk', 'hujat']",13,-5,negative
sejarah kelam orde baru yg nampaknya terulang 🤔 jgn lagilagi deh   komika bem ugm pil  pil  wa aja malaysia rohingya myanmar muhammad kdaceh,"['sejarah', 'kelam', 'orde', 'yg', 'nampaknya', 'ulang', 'jgn', 'lagilagi', 'deh', 'komika', 'bem', 'ugm', 'pil', 'pil', 'wa', 'aja', 'malaysia', 'rohingya', 'myanmar', 'muhammad', 'kdaceh']",23,0,neutral
rohingya itu lamalama bisa memberontak pada negara indonesia yang danainya mamarica loh,"['rohingya', 'lamalama', 'berontak', 'negara', 'indonesia', 'dana', 'mamarica', 'loh']",12,4,positive
yg bayar itu karena kasus perdagangan manusia mereka kena tipu dan soal minta tanah di malay itu hoax karena itu penggalan video saat warga rohingya demonstrasi menuntut dihentikannya genosida,"['yg', 'bayar', 'dagang', 'manusia', 'kena', 'tipu', 'tanah', 'malay', 'hoax', 'penggal', 'video', 'warga', 'rohingya', 'demonstrasi', 'tuntut', 'henti', 'genosida']",29,-17,negative
terlepas akun fake atau apalah terkait rohingya seharusnya juga mendudukan pihak myanmar karena akar masalah rohingya itu kan dengan myanmar indonesia itu hanya penampungan sementara tapi namanya sementara itu ada waktunya ya tidak sementara yg berkepanjangan,"['lepas', 'akun', 'fake', 'apa', 'kait', 'rohingya', 'duduk', 'myanmar', 'akar', 'rohingya', 'myanmar', 'indonesia', 'tampung', 'nama', 'ada', 'ya', 'yg', 'panjang']",36,2,positive
gajadi tamat malem ini gue baru sampe kost habis diskusi tentang pilpres rohingya jodoh dll  mungkin besok,"['gajadi', 'tamat', 'malem', 'gue', 'sampe', 'kost', 'habis', 'diskusi', 'pilpres', 'rohingya', 'jodoh', 'dll', 'besok']",17,-5,negative
wowo gobel naik jabatan sedangkan kasusnya belum selesai apalagi dia adalah makhluk pelanggar ham  wa aja bem ugm kdrohingya npwp seneng muhammad cakep banget tonton 👇,"['wowo', 'gobel', 'jabat', 'kasus', 'selesai', 'makhluk', 'langgar', 'ham', 'wa', 'aja', 'bem', 'ugm', 'kdrohingya', 'npwp', 'neng', 'muhammad', 'cakep', 'banget', 'tonton']",26,4,positive
id marshel sorry nih emangnya segampang itu kita orng luar mau berusaha menghentikan genosida amp  pengusiran kita juga ga akan sekejam itu nolak warga rohingya klo merekanya pun ngaa macem  mereka nih banyak yg meresahkan wajar kita harus waspada kalo terus²an dikasihani ngelunjak ntar,"['id', 'marshel', 'sorry', 'nih', 'emang', 'gampang', 'orng', 'usaha', 'henti', 'genosida', 'amp', 'usir', 'ga', 'kejam', 'nolak', 'warga', 'rohingya', 'klo', 'mereka', 'ngaa', 'macem', 'nih', 'yg', 'resah', 'wajar', 'waspada', 'kalo', 'terus', 'an', 'kasihan', 'ngelunjak', 'ntar']",44,-26,negative
lupa pancasila  bem ugm wa aja komika pil  the k seneng rohingya muhammad jungkook pil  internet gratis ganjar cat,"['lupa', 'pancasila', 'bem', 'ugm', 'wa', 'aja', 'komika', 'pil', 'the', 'k', 'neng', 'rohingya', 'muhammad', 'jungkook', 'pil', 'internet', 'gratis', 'ganjar', 'cat']",19,9,positive
ganjar tegaskan bakal lanjutkan pembangunan ikn💪   indro malam bem ugm komika pil  the k muhammad the un security council rohingya myanmar hunter biden pil  nayeon ozil pil  npwp,"['ganjar', 'tegas', 'lanjut', 'bangun', 'ikn', 'indro', 'malam', 'bem', 'ugm', 'komika', 'pil', 'the', 'k', 'muhammad', 'the', 'un', 'security', 'council', 'rohingya', 'myanmar', 'hunter', 'biden', 'pil', 'nayeon', 'ozil', 'pil', 'npwp']",28,-2,negative
balikin aja ke camp sebelum di indo atau pindahin ke tujuan selanjutnya bikin gaduh indonesia aja itu orang rohingya di indonesia,"['balikin', 'aja', 'camp', 'indo', 'pindahin', 'tuju', 'bikin', 'gaduh', 'indonesia', 'aja', 'orang', 'rohingya', 'indonesia']",21,-2,negative
anies resmikan gardu listrik mdi jakarta selatan bukti kesuksesan tanpa keringat  si ahlinya tinggal terima jadi    bem ugm the k jungkook rohingya indro pil  komika pil  npwp pil,"['anies', 'resmi', 'gardu', 'listrik', 'mdi', 'jakarta', 'selatan', 'bukti', 'sukses', 'keringat', 'si', 'ahli', 'tinggal', 'terima', 'bem', 'ugm', 'the', 'k', 'jungkook', 'rohingya', 'indro', 'pil', 'komika', 'pil', 'npwp', 'pil']",28,2,positive
tv min coba buat pooling rohingya di terika atau dintolak soalnya meresahkan sekali,"['tv', 'min', 'coba', 'pooling', 'rohingya', 'terika', 'dintolak', 'resah']",13,-4,negative
jejak digital barbarnya rohingya yg ngaku muslim to tak beradab   usir rohingya tanpa perlu ijin dr pbb,"['jejak', 'digital', 'barbar', 'rohingya', 'yg', 'ngaku', 'muslim', 'to', 'adab', 'usir', 'rohingya', 'ijin', 'dr', 'pbb']",17,-4,negative
jakarta saja gagal apalagi indonesia    bem ugm the k jungkook rohingya indro pil  komika pil  npwp pil,"['jakarta', 'gagal', 'indonesia', 'bem', 'ugm', 'the', 'k', 'jungkook', 'rohingya', 'indro', 'pil', 'komika', 'pil', 'npwp', 'pil']",17,-4,negative
inilah suasana warga subang unjuk rasa untuk meminta pengungsi rohingya dipindahkan dari sabang,"['suasana', 'warga', 'subang', 'unjuk', 'ungsi', 'rohingya', 'pindah', 'sabang']",13,-2,negative
pulangkan saja orang rohingya kenegara asalnya dr pada menjadi beban di masyarakat dan negaralihatlah rakyat indonesia masih byk yg menderita rohingya palestina bedah jaurakyat palestina lebih memilih mati dr pada meningalkan negaranya mental orang palestina sangatlah tanguh,"['pulang', 'orang', 'rohingya', 'negara', 'asal', 'dr', 'beban', 'masyarakat', 'negaralihatlah', 'rakyat', 'indonesia', 'byk', 'yg', 'derita', 'rohingya', 'palestina', 'bedah', 'jaurakyat', 'palestina', 'pilih', 'mati', 'dr', 'meningalkan', 'negara', 'mental', 'orang', 'palestina', 'tanguh']",37,-13,negative
kalau rohingya engga salah kenapa pada kabur dari myanmar  ada video org rohingya di rakhine dibakarin idup tuh not enough reason buat kabur apa bgmn,"['rohingya', 'engga', 'salah', 'kabur', 'myanmar', 'ada', 'video', 'org', 'rohingya', 'rakhine', 'dibakarin', 'idup', 'tuh', 'not', 'enough', 'reason', 'kabur', 'bgmn']",25,-7,negative
menolak lengah  agenda masih sama seperti awal ada kelompok radikal militan dibalik pencapresan anies bersiap bangkitkan negara khilafah   bem ugm the k jungkook rohingya indro pil  komika pil  npwp pil,"['tolak', 'lengah', 'agenda', 'ada', 'kelompok', 'radikal', 'militan', 'balik', 'pencapresan', 'anies', 'bangkit', 'negara', 'khilafah', 'bem', 'ugm', 'the', 'k', 'jungkook', 'rohingya', 'indro', 'pil', 'komika', 'pil', 'npwp', 'pil']",30,-21,negative
sehat dan sukses selalu pak ganjar dan keluarga  bem ugm indro komika pil  rohingya the k pil  npwp pil,"['sehat', 'sukses', 'ganjar', 'keluarga', 'bem', 'ugm', 'indro', 'komika', 'pil', 'rohingya', 'the', 'k', 'pil', 'npwp', 'pil']",19,9,positive
pratamap id  marshel semoga ada titik terang bagi rohingya agar bisa di akui di myanmar sebagai etnis juga disana  kasihan terombang ambing di lautan,"['pratamap', 'id', 'marshel', 'moga', 'ada', 'titik', 'terang', 'rohingya', 'aku', 'myanmar', 'etnis', 'sana', 'kasihan', 'terombang', 'ambing', 'laut']",24,0,neutral
ganjar tuntaskan ikn  bem ugm indro komika pil  rohingya the k pil  npwp pil,"['ganjar', 'tuntas', 'ikn', 'bem', 'ugm', 'indro', 'komika', 'pil', 'rohingya', 'the', 'k', 'pil', 'npwp', 'pil']",14,4,positive
lu ga berhak ngomong karna lu ga bergesekan langsung sama mereka kenapa lu mikir kasian pengungsi rohingya sedangkan warga aceh juga lebih tersiksa karna ini,"['lu', 'ga', 'hak', 'ngomong', 'karna', 'lu', 'ga', 'gesek', 'langsung', 'lu', 'mikir', 'kasi', 'ungsi', 'rohingya', 'warga', 'aceh', 'siksa', 'karna']",25,-8,negative
dukungan kuat dari perusahaan media jurnalis yg udah dikenal dimana mana sdh semakin bertambah kepercayaan masyarakat atas statement negatif terhadap rohingya jadi kalau diminta jawaban aku berpihak kemana mungkin kembali lagi ke masyarakat aceh siap enggak menerima rohingya,"['dukung', 'kuat', 'usaha', 'media', 'jurnalis', 'yg', 'udah', 'kenal', 'mana', 'sdh', 'tambah', 'percaya', 'masyarakat', 'statement', 'negatif', 'rohingya', 'pihak', 'mana', 'masyarakat', 'aceh', 'terima', 'rohingya']",38,5,positive
result jakarta pools  gt    november  sah gt   shio gt  ayam selamat untuk member yang jp,"['result', 'jakarta', 'pools', 'gt', 'november', 'sah', 'gt', 'shio', 'gt', 'ayam', 'selamat', 'member', 'jp']",15,5,positive
id  marshel mereka pengunsi selain rohingya tdak mengeluh ketika di kasih makanan  dmn bumi di pijak di situ langit di junjung hargailah dan mereka akan menghargaimu,"['id', 'marshel', 'pengunsi', 'rohingya', 'tdak', 'keluh', 'kasih', 'makan', 'dmn', 'bumi', 'pijak', 'situ', 'langit', 'junjung', 'harga', 'harga']",26,5,positive
orang orang kayak gue yang mana gue sebelumnya ga bahas apapun ttg r seingat gue pertama kali gue bahas r di meme itu tapi ketika ada orang yang bilang warga aceh jahat apa salah gue bilang apa alasannya kami menolak gue juga membela rohingya,"['orang', 'orang', 'kayak', 'gue', 'gue', 'ga', 'bahas', 'apa', 'ttg', 'r', 'gue', 'kali', 'gue', 'bahas', 'r', 'meme', 'ada', 'orang', 'bilang', 'warga', 'aceh', 'jahat', 'salah', 'gue', 'bilang', 'alas', 'tolak', 'gue', 'bela', 'rohingya']",44,-13,negative
dibalik kerasnya penolakan pengungsi rohingya ternyata ada juga yg mendukung dan siap menerima kedatangan mereka,"['balik', 'keras', 'tolak', 'ungsi', 'rohingya', 'ada', 'yg', 'dukung', 'terima', 'datang']",15,-4,negative
nambahin ya sifat asli rohingya,"['nambahin', 'ya', 'sifat', 'asli', 'rohingya']",5,6,positive
